"site_id","site_code","site_name"
477609,"0293131",咸阳武功县K
477629,"3593055",山西运城关胜K
484645,"7703010",广西防城上思
487611,"7553401",石岩料坑村S
488604,"8753046",云南保山施甸县K
488607,"3753009",平顶山宝丰县S
642737,"8313244",宜宾南站
650707,"5573017",苏皖北部
661729,"0203394",白沙商贸城S
673633,"3353230",河北秦皇岛彩龙国际
676625,"7923238",九江鸿飞S
683633,"0103696",天恒中信S
686821,"7563258",安能澳门特区S
687677,"0213841",黄渡工业区S
689661,"7313442",星沙产业基地S
694628,"8513286",企云航花溪康城
759631,"871300007",云南嵩华S
759682,"595300015",石狮军华
759871,"532300031",青岛宏祥S
760059,"371300022",郑州龙源
760241,"513300016",港闸火车站S
760384,"770300001",防城区名晓
760890,"373600001",新乡分拨空仓T
760938,"917600001",宝鸡分拨空仓T
761071,"791600004",九江分拨直送部
761108,"917600002",宝鸡分拨直送部
761616,"518300002",赣榆一区S
761737,"532300037",胶州家具S
761741,"552300005",固镇县城S
763623,"478300001",巴彦淖尔红星S
773708,"431300015",长春东新路S
773725,"316300025",廊坊码头镇S
773727,"537300012",济宁金宇S
773760,"551300033",合肥罍街S
758906,"029300012",浐灞会展中心
18038,"8703007",昭通彝良县
18629,"0276015",洪山广场D
18938,"8263017",邻水县牟家镇
19068,"7555035",深圳会员高运安能
19072,"0213217",浦东金桥北
19278,"4523009",齐齐哈尔富拉尔基
19299,"7663005",云浮罗定市
19488,"3193020",邢台临城
20201,"5993018",南平光泽县
20260,"5713149",萧山蜀山街道
20352,"5113025",镇江市区润州
20375,"5795007",金华会员胡江攀
20438,"7433009",湘西保靖县
20512,"5993019",南平武夷山三姑
20747,"3113110",河北石家庄铜冶
20780,"5513085",包河绿地中心
20982,"0233153",重庆跳蹬镇
21398,"5613002",杜集区
21691,"5123182",太仓市区
177624,"9963017",尉犁县三十团
177635,"5703032",衢州市鸿泰S
185620,"5503009",凤阳门台S
188616,"3163032",河北廊坊辛章村
188621,"9963020",库尔勒博湖县
190601,"7247029",钟祥皇庄S
192606,"5523041",五河
193601,"3113145",河北石家庄裕翔街
193620,"5123271",苏州市北
195601,"4513061",大兴安岭呼玛
195611,"3173020",河北沧州献县
197605,"0253143",江北江浦
209653,"0215061",青浦工业区V
219599,"5646002",六安分拨自提
219618,"7566003",珠海分拨自提
219668,"0256006",南京市区分拨自提
219672,"7756003",玉林分拨自提
219702,"8133017",荣县顺城
229676,"3153032",唐山万达
245615,"9133025",陕西渭南经开S
262615,"7573056",狮山工业城
265619,"0231001",九龙坡区巴国城
266617,"0287369",双流一站通S
266628,"5367124",潍城北部S
269652,"0225021",天津分拨营业部
703696,"0233541",渝北区冉家坝
707626,"0233545",秀山隘口镇
714634,"5323317",青岛即墨即东增量
720692,"5523239",淮上电商S
723714,"8323213",内江威远连界
723782,"7183221",野三关
728856,"5733297",嘉兴凤鸣S
729762,"5233260",测试一级网点s
730667,"5733298",嘉兴童车S
731700,"5313281",章丘开发区
731757,"8793216",思茅碗儿
731765,"5143235",高邮灯具市场S
734648,"0203603",海珠燕子岗S
735634,"4123210",辽宁鞍山千山区S
768344,"022300037",双口镇商业街S
769523,"871300020",古滇春城增量ST
769724,"028300069",成都武侯科技ST
769746,"023300044",重庆茶园新区ST
769776,"635300013",烟台祥通S
770112,"510300044",塘南凌峰S
770138,"539300016",临沂涑河店SST
770778,"551300031",合肥通飞
771114,"851300016",贵阳北站S
771414,"731300061",株洲市中心广场ST
771745,"791600007",南昌分拨高新派送部
771783,"029300044",陕西秦汉新城ST
772011,"574300045",慈溪附海镇S
772232,"575300034",绍兴上虞ST
772430,"512300070",昆山陆杨古城S
